NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,TARGET,EXT_SOURCE_2,EXT_SOURCE_3,DAYS_REGISTRATION,DAYS_LAST_PHONE_CHANGE
Cash loans,F,N,Pensioner,Secondary / secondary special,0,0.3995549271599128,0.6986675550534175,-4541.0,-2736.0
Cash loans,F,N,Working,Secondary / secondary special,0,0.5668260763971845,0.82872883245649,-6948.0,-135.0
Cash loans,F,N,Commercial associate,Higher education,0,0.6217573413398629,0.1500851762342935,-4932.0,-1304.0
Cash loans,M,Y,Working,Incomplete higher,1,0.6942777202309163,0.3233112448967859,-6014.0,-1423.0
Cash loans,M,Y,Working,Secondary / secondary special,0,0.6380734421794003,0.7826078370261895,-8200.0,-517.0
Cash loans,F,N,Commercial associate,Secondary / secondary special,0,0.6793311563278133,0.7713615919194317,-10753.0,-244.0
Cash loans,M,Y,Working,Secondary / secondary special,0,0.5832989926926168,0.3859146722745145,-5214.0,-421.0
Cash loans,F,Y,Commercial associate,Secondary / secondary special,0,0.3208055234848897,0.746300213050371,-5707.0,-56.0
Cash loans,F,N,Working,Secondary / secondary special,0,0.4824767290345466,0.5147465544741232,-5461.0,-2669.0
Cash loans,F,N,Pensioner,Secondary / secondary special,0,0.3505567878730654,0.7826078370261895,-10115.0,-1463.0
Cash loans,M,Y,Commercial associate,Secondary / secondary special,0,0.6726450290310918,0.4329616670974407,-5381.0,-756.0
Cash loans,F,N,Working,Higher education,0,0.5001276221301946,0.7281412993111438,-7549.0,-294.0
Cash loans,F,Y,Pensioner,Secondary / secondary special,0,0.5145670367196721,0.1376544619182607,-9166.0,-477.0
Cash loans,M,N,Commercial associate,Incomplete higher,0,0.1923160541736026,0.2735646775174348,-4211.0,0.0
Cash loans,F,N,Working,Higher education,0,0.5976597058481461,0.5902333386185574,-1571.0,-941.0
Cash loans,F,N,Working,Secondary / secondary special,1,0.258644469358474,0.2525986978339766,-3701.0,-631.0
Cash loans,F,N,Working,Secondary / secondary special,0,0.5800052435597204,0.3910549766342248,-4984.0,-1618.0
Cash loans,F,N,Working,Secondary / secondary special,0,0.1446447073364184,0.2678689358444539,-617.0,-1566.0
Cash loans,M,Y,Working,Secondary / secondary special,0,0.2413793382089366,0.7366226976503176,-4351.0,0.0
Cash loans,M,Y,Commercial associate,Secondary / secondary special,0,0.5623212619529647,0.5147465544741232,-301.0,-276.0
Cash loans,M,N,Working,Secondary / secondary special,0,0.6387650064169437,0.8327850252992314,-8482.0,-296.0
Cash loans,F,N,Pensioner,Secondary / secondary special,0,0.3810736604882585,0.6674577419214722,-9158.0,-1834.0
Revolving loans,F,N,Working,Higher education,0,0.7915513140075181,0.470456116119975,-1311.0,-65.0
Cash loans,F,N,Working,Higher education,0,0.1022018034113362,0.2594676548211199,-1945.0,-105.0
Cash loans,F,N,Pensioner,Secondary / secondary special,0,0.7084785755691166,0.6195277080511546,-10319.0,-1181.0
Cash loans,M,Y,Commercial associate,Secondary / secondary special,0,0.4699374607822295,0.3774042489507649,-7647.0,-269.0
Cash loans,F,N,Working,Secondary / secondary special,0,0.4734468419365516,0.4776491548517548,-4593.0,-1136.0
Cash loans,M,N,Working,Secondary / secondary special,1,0.1388721638467852,0.2431864804420123,-3942.0,-223.0
Cash loans,F,N,Commercial associate,Secondary / secondary special,0,0.6331251777290242,0.4311917977993083,-5424.0,-3377.0
Cash loans,M,Y,Working,Secondary / secondary special,1,0.0772195639903358,0.237916079507114,-105.0,-541.0
Cash loans,F,Y,Pensioner,Higher education,0,0.3378327284176807,0.5046813193144684,-3886.0,-2.0
Cash loans,F,N,Working,Secondary / secondary special,0,0.537271514277896,0.8245949709919925,-7630.0,0.0
Cash loans,M,N,Commercial associate,Secondary / secondary special,0,0.6901031528867506,0.4848514754962666,-4906.0,0.0
Cash loans,M,Y,Pensioner,Higher education,0,0.6592637367355662,0.1997705696341145,-12681.0,-1873.0
Cash loans,M,N,Working,Secondary / secondary special,1,0.3473425345978517,0.6279908192952864,-599.0,0.0
Cash loans,F,N,Pensioner,Secondary / secondary special,0,0.7277852182204274,0.3409064264152384,-10269.0,-1445.0
Cash loans,F,N,Pensioner,Secondary / secondary special,0,0.6917748858203865,0.7922644738669378,-1680.0,-504.0
Cash loans,M,N,Working,Lower secondary,1,0.0040501715172548,0.3656165070113335,-1277.0,-551.0
Cash loans,F,Y,Commercial associate,Higher education,0,0.6597007892178333,0.6706517530862718,-3076.0,-2721.0
Cash loans,M,Y,Working,Higher education,0,0.5257227657915295,0.6397075677637197,-2044.0,-1527.0
Cash loans,F,N,Pensioner,Secondary / secondary special,0,0.4889987984677813,0.5442347412142162,-513.0,-550.0
Cash loans,F,N,Working,Secondary / secondary special,0,0.5304366807221084,0.248535557339522,-2285.0,0.0
Cash loans,F,N,Working,Secondary / secondary special,0,0.3338234497557424,0.6801388218428291,-10154.0,-1611.0
Cash loans,F,N,Pensioner,Secondary / secondary special,0,0.6019010118568778,0.5902333386185574,-16820.0,-16.0
Cash loans,F,N,Working,Secondary / secondary special,1,0.0131752776075163,0.100151820337239,-2497.0,-757.0
Cash loans,M,N,Working,Secondary / secondary special,0,0.5079883382073522,0.5147465544741232,-258.0,0.0
Cash loans,F,N,State servant,Secondary / secondary special,0,0.2459371106874712,0.4596904504249018,-8079.0,-132.0
Cash loans,M,N,Working,Secondary / secondary special,0,0.5307525734689597,0.6769925032909132,-660.0,-1.0
Cash loans,F,N,Working,Secondary / secondary special,0,0.7246417303318243,0.8633633824101478,-6717.0,-1778.0
Cash loans,F,N,Pensioner,Secondary / secondary special,0,0.5188209751454279,0.622922000268356,-9157.0,-1085.0
Cash loans,F,N,Working,Higher education,0,0.6466586034549839,0.4489622731076524,-11362.0,-2323.0
Cash loans,M,N,Commercial associate,Secondary / secondary special,0,0.7212296891066754,0.5147465544741232,-14.0,-430.0
Cash loans,M,N,Commercial associate,Secondary / secondary special,0,0.7244627960551835,0.3154721549257734,-8194.0,-609.0
Cash loans,F,N,Working,Higher education,0,0.6387952807820876,0.4722533429586386,-3876.0,-2158.0
Revolving loans,M,N,Pensioner,Secondary / secondary special,0,0.6943102099692318,0.8106180215523969,-5475.0,-2513.0
Revolving loans,F,N,Commercial associate,Secondary / secondary special,0,0.5505233896446243,0.5814837058057234,-4549.0,-1494.0
Cash loans,F,N,State servant,Higher education,0,0.7267051455739335,0.5388627065779676,-4923.0,-413.0
Cash loans,F,N,Working,Secondary / secondary special,0,0.4449393697286164,0.3328505641648731,-54.0,-1646.0
Revolving loans,M,Y,Commercial associate,Higher education,0,0.6568920846765708,0.5370699579791587,-9022.0,-423.0
Cash loans,F,N,Pensioner,Secondary / secondary special,0,0.5325113115716172,0.4329616670974407,-10091.0,-1677.0
Cash loans,F,N,Commercial associate,Incomplete higher,0,0.6039375268469055,0.5147465544741232,-853.0,-1766.0
Cash loans,F,N,Commercial associate,Secondary / secondary special,0,0.6285061613684306,0.524496446363472,-2946.0,-231.0
Cash loans,F,Y,Commercial associate,Higher education,0,0.7270524482509491,0.248535557339522,-6647.0,-2945.0
Revolving loans,F,Y,Pensioner,Secondary / secondary special,0,0.7632220349159533,0.3622772470384314,-7819.0,-1952.0
Cash loans,M,Y,Working,Higher education,0,0.5088026758129487,0.4507472818545589,-3863.0,-2612.0
Revolving loans,F,N,Working,Secondary / secondary special,0,0.5478759683546076,0.6832688314232291,-9893.0,-1274.0
Cash loans,M,Y,Commercial associate,Higher education,0,0.5177399771498854,0.5814837058057234,-852.0,-268.0
Cash loans,M,N,Working,Secondary / secondary special,1,0.4841805025385748,0.5147465544741232,-299.0,-681.0
Cash loans,F,N,Working,Secondary / secondary special,0,0.7467718433364289,0.3392876999089139,-7416.0,-681.0
Revolving loans,F,Y,Commercial associate,Higher education,0,0.7017036318015829,0.5226973172821112,-512.0,-656.0
Cash loans,M,Y,State servant,Secondary / secondary special,0,0.3925199858008061,0.5424451438613613,-1439.0,-173.0
Cash loans,M,Y,Commercial associate,Secondary / secondary special,0,0.2775351728713637,0.3539876078507373,-3164.0,-1814.0
Cash loans,M,Y,Working,Secondary / secondary special,1,0.3671272470049289,0.4650692149562261,-6373.0,-2853.0
Cash loans,F,Y,Working,Secondary / secondary special,0,0.6251660159109561,0.5147465544741232,-3997.0,-537.0
Cash loans,F,Y,Pensioner,Higher education,0,0.5643975951807224,0.7194907850918436,-1775.0,0.0
Cash loans,F,N,State servant,Secondary / secondary special,0,0.4704495227120274,0.4650692149562261,-9378.0,-701.0
Cash loans,F,N,Working,Secondary / secondary special,0,0.5490836243329847,0.1351060157401717,-6115.0,-1799.0
Cash loans,F,N,Working,Secondary / secondary special,0,0.1512261087360178,0.816092360478441,-6932.0,-1880.0
Cash loans,F,N,Pensioner,Secondary / secondary special,0,0.4054818439938375,0.5147465544741232,-9601.0,-218.0
Cash loans,F,N,Commercial associate,Secondary / secondary special,0,0.3513886539282192,0.3296550543128238,-209.0,-490.0
Cash loans,F,N,State servant,Higher education,0,0.6961542984694281,0.5147465544741232,-7110.0,-2382.0
Cash loans,F,N,Working,Higher education,0,0.6711940391762867,0.5656079814115492,-1563.0,-1322.0
Cash loans,F,N,Working,Secondary / secondary special,0,0.6351038663213532,0.511891801533151,-4626.0,-355.0
Cash loans,M,Y,State servant,Secondary / secondary special,0,0.6249456448144844,0.4866531565147181,-4394.0,-336.0
Cash loans,F,N,State servant,Higher education,0,0.7586834798002096,0.2418614865234661,-15856.0,-250.0
Cash loans,F,N,Working,Secondary / secondary special,0,0.1924995428598265,0.1566398270314114,-2605.0,-1771.0
Cash loans,F,N,Working,Higher education,0,0.6278166202534953,0.5147465544741232,-1281.0,-682.0
Cash loans,F,Y,Working,Secondary / secondary special,0,0.6578771316553012,0.6397075677637197,-3373.0,-203.0
Cash loans,M,N,Working,Secondary / secondary special,0,0.5792166552009901,0.2896112383820055,-9060.0,-1348.0
Cash loans,F,N,Pensioner,Lower secondary,0,0.1855940693735654,0.520897599048938,-12882.0,0.0
Cash loans,F,Y,Working,Higher education,0,0.6684131318800383,0.5147465544741232,-6061.0,-338.0
Cash loans,F,N,Pensioner,Higher education,0,0.6762748048693902,0.6109913280868294,-772.0,-821.0
Cash loans,M,N,Commercial associate,Secondary / secondary special,0,0.676695953821753,0.5316861425197883,-794.0,-230.0
Cash loans,F,N,Commercial associate,Higher education,0,0.1004851280269712,0.266456808245056,-2671.0,0.0
Cash loans,M,Y,State servant,Secondary / secondary special,0,0.6131523650712788,0.5971924268337128,-14440.0,-425.0
Cash loans,F,N,Working,Secondary / secondary special,0,0.4680096340981782,0.1929422277169508,-12422.0,-988.0
Cash loans,F,N,Pensioner,Secondary / secondary special,0,0.6357776112492253,0.7958031328748403,-3352.0,-944.0
Cash loans,F,N,Commercial associate,Secondary / secondary special,1,0.0882802608007007,0.085595451324618,-6202.0,-207.0
Revolving loans,F,N,Commercial associate,Higher education,0,0.6696430313301501,0.5280927512030451,-9804.0,-503.0
Cash loans,M,Y,Working,Secondary / secondary special,0,0.628169117569508,0.3807996826489149,-8101.0,-504.0
Cash loans,M,Y,Working,Secondary / secondary special,0,0.7330469138731694,0.5147465544741232,-6734.0,0.0
Cash loans,M,Y,Commercial associate,Secondary / secondary special,0,0.6685003660792269,0.7032033049040319,-3046.0,-2897.0
Cash loans,F,N,Commercial associate,Secondary / secondary special,0,0.7507169774395803,0.6296742509538716,-5033.0,-2532.0
Cash loans,M,N,Working,Higher education,0,0.5305565049935655,0.3589512285783967,-8104.0,-476.0
Cash loans,F,N,Pensioner,Secondary / secondary special,0,0.5327780475660913,0.5147465544741232,-13462.0,-541.0
Cash loans,F,N,Working,Secondary / secondary special,0,0.4424564897237187,0.4992720153045617,-6363.0,-517.0
